,commit id,categories,commit_message
20,cec72ce,"['Testing', 'Maintenance', 'Clean up']","COMPRESS-410 Remove Non-NIO character set encoders. As a special case, the UTF-8 encoder will replace malformed / unmappable input with '?'. This behavior is required for compatibility with existing behavior.

Signed-off-by: Simon Spero <sesuncedu@gmail.com>

(cherry picked from commit 0d41ac4)
Signed-off-by: Simon Spero <sesuncedu@gmail.com>
"
21,b7af8b3,['Maintenance'],"Minor optimizations.

Exctrated use of calendar, since all operations involving the calendar classes
are costly including getInstance.

- Allocated array of correct size

Arguably these issues are really only irritations for anyone measuring the performance
of commons-compress; in other words not all that significant in terms of real
performance gain, at least not the kind an end-user would notice.

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/compress/trunk@1650170 13f79535-47bb-0310-9956-ffa450edef68
"
22,7684a4b,"['Maintenance', 'Documentation']","some comments still mention old Ant class name

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/compress/trunk@1340894 13f79535-47bb-0310-9956-ffa450edef68
"
23,99870ef,['Documentation'],"Not thread-safe

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/compress/trunk@759399 13f79535-47bb-0310-9956-ffa450edef68
"
24,fa8fea7,['Indentation'],"whitespace only

git-svn-id: https://svn.apache.org/repos/asf/commons/sandbox/compress/trunk@741473 13f79535-47bb-0310-9956-ffa450edef68
"
25,ab9ebfc,"['Refactoring', 'Maintenance']","applied patch by Christian Grobmeier

updated zip support

https://issues.apache.org/jira/browse/SANDBOX-248



git-svn-id: https://svn.apache.org/repos/asf/commons/sandbox/compress/trunk@733688 13f79535-47bb-0310-9956-ffa450edef68
"
26,5aaa012,['Maintenance'],"Changed methods for registering event listeners for configuration builders.

The methods now use the generic event listener interface. (This commit breaks
the build as there are unresolved compilation failures.)

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/configuration/trunk@1596019 13f79535-47bb-0310-9956-ffa450edef68
"
27,ba2ab0e,['Rename'],"Renamed top-level package to configuration2. (This breaks the build.)

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/configuration/branches/configuration2-alpha@1624601 13f79535-47bb-0310-9956-ffa450edef68
"
28,c089491,"['Testing', 'Maintenance']","NodeModel.clearTree() now returns information about removed elements.

This is necessary to correctly populate a CLEAR_TREE event for hierarchical
configurations. InMemoryNodeModel here returns a list with QueryResult objects
for the nodes or attributes selected by the key passed to clearTree().

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/configuration/branches/immutableNodes@1588818 13f79535-47bb-0310-9956-ffa450edef68
"
29,10a33f3,['Bug fix'],"Set correct generic type parameters in CombinedConfigurationBuilder.

A ClassCastException was thrown in the tests because results of
configurationsAt() were cast to SubnodeConfigurations. The definition
configuration can now have an arbitrary node type.

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/configuration/branches/immutableNodes@1588687 13f79535-47bb-0310-9956-ffa450edef68
"
30,8c3aaee,['Token Replace'],"Rename method from ""is"" prefix to ""read"" prefix because it is not just a test method, it may actually consume input.

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/csv/trunk@1397914 13f79535-47bb-0310-9956-ffa450edef68
"
31,3ea8118,['Refactoring'],"Move Token into separate file for more flexibility

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/csv/trunk@1303505 13f79535-47bb-0310-9956-ffa450edef68
"
32,d7b27cc,['Maintenance'],"IO-131 Implement java.io.Serializable in IOFileFilter implementations

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/io/trunk@587916 13f79535-47bb-0310-9956-ffa450edef68
"
33,4dcf99a,['Maintenance'],"IO-240 ensure cvsFilter and svnFilter are only created once.

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/io/trunk@982437 13f79535-47bb-0310-9956-ffa450edef68
"
34,4127f85,"['Testing', 'Bug fix']","Bugzilla 28496
Fix for: org.apache.commons.io.FileUtils.copyFile shouldn't allow to copy a file on itself
Submitted by: dany rizzi <drizzi.at.largesys.it>


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/io/trunk@140558 13f79535-47bb-0310-9956-ffa450edef68
"
35,5064788,['Module Remove'],"Removed the compress packages from IO. They will appear soon in a holding
project in the sandbox named 'compress'.


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/io/trunk@140421 13f79535-47bb-0310-9956-ffa450edef68
"
36,a23156e,"['Token Replace', 'Clean up', 'Legal']","Correct license
Javadocs
Use ProxyInputStream as base class to reduce code.


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/io/trunk@140372 13f79535-47bb-0310-9956-ffa450edef68
"
37,79f6ffa,['Maintenance'],"Now FileFilter's are Predicates. Thus new classes.


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/io/trunk@140333 13f79535-47bb-0310-9956-ffa450edef68
"
38,8eeb52f,"['Clean up', 'Refactoring']","FileUtil moved into FileUtils. Oddly enough no methods clash in name.
However there is a lot of clash of functionality, so methods need to be
considered and removed.


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/io/trunk@140314 13f79535-47bb-0310-9956-ffa450edef68
"
39,5f1fcc9,"['Clean up', 'Bug fix', 'Maintenance']","Various MethodKey fixes:
 * Fix potential NPEs.
 * Reduce visibility of many methods
 * Use Void.class as a signature for null arguments
 * Need only one AmbiguousException
Patch by Henri Biestro <hbiestro at gmail dot com>.
JEXL-67


git-svn-id: https://svn-us.apache.org/repos/asf/commons/proper/jexl/branches/2.0@802288 13f79535-47bb-0310-9956-ffa450edef68
"
40,6b70a70,['Maintenance'],"Update dependency commons-dbcp2

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/jcs/trunk@1809536 13f79535-47bb-0310-9956-ffa450edef68
"
41,c2b9de1,"['Maintenance', 'Legal', 'Build', 'Indentation']","Apply patch from JCS-120

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/jcs/trunk@1591080 13f79535-47bb-0310-9956-ffa450edef68
"
42,cfa533f,"['Maintenance', 'Clean up', 'Refactoring']","Refactor and simplify managers and factories (step one)

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/jcs/trunk@1719091 13f79535-47bb-0310-9956-ffa450edef68
"
43,0e55dab,['Clean up'],"Initialization should not be a publicly accessible method

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/jcs/trunk@1774920 13f79535-47bb-0310-9956-ffa450edef68
"
44,44cec10,['Maintenance'],"NET-245: Apply MFMT patch submitted by Shikhar

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/net/branches/NET_2_0@764660 13f79535-47bb-0310-9956-ffa450edef68
"
45,2d5c8f8,['Maintenance'],"Use interface (List) rather than implementation (Vector) for _replyLines
Also, change to ArrayList, as there's no need for synch. here

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/net/trunk@1085922 13f79535-47bb-0310-9956-ffa450edef68
"
46,b4fabe8,"['Testing', 'Build', 'Maintenance']","NET-525 Added missing set methods on NTP class and interface

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/net/trunk@1570303 13f79535-47bb-0310-9956-ffa450edef68
"
47,ea30b2f,['Maintenance'],"Ensure data connection is closed regardless

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/net/trunk@1076306 13f79535-47bb-0310-9956-ffa450edef68
"
48,a4244f8,"['Maintenance', 'Bug fix']","NET-242 Method createServerSocket of FTPSSocketFactory never called and thus UseClientMode is incorrect in a secured ftp transfer using active mode.

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/net/branches/NET_2_0@740961 13f79535-47bb-0310-9956-ffa450edef68
"
49,d3e2a98,['Maintenance'],"Add getAllAddresses()

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/net/branches/NET_2_0@633181 13f79535-47bb-0310-9956-ffa450edef68
"
50,a7fb411,"['Legal', 'Maintenance']","NET-164

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/net/branches/NET_2_0@628574 13f79535-47bb-0310-9956-ffa450edef68
"
51,094fefe ,['Maintenance'],"Type safety improvements.


git-svn-id: https://svn.apache.org/repos/asf/commons/proper/scxml/branches/J5@610103 13f79535-47bb-0310-9956-ffa450edef68
"
52,e1a94d7,['Feature Add'],"SCXML-186: Goovy Expression evaluator support
- Groovy Script base class for SCXML providing SCXML builtin functions In() and Data() as well as convenient functions empty() and var()

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/scxml/trunk@1559129 13f79535-47bb-0310-9956-ffa450edef68
"
53,a7b95a2,['Maintenance'],"Model changes for Feb '07 WD alignment (part 2):
- Add <history> book-keeping to TransitionTarget since it is now useful across subclasses.


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/scxml/trunk@522052 13f79535-47bb-0310-9956-ffa450edef68
"
54,f91d7d6,['Maintenance'],"Update to current TLDs list

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/validator/trunk@1695800 13f79535-47bb-0310-9956-ffa450edef68
"
55,ec47d75,"['Testing', 'Feature Add']","VALIDATOR-235 UrlValidator rejects url with Unicode characters in domain label or TLD
Initial implementation; needs tidying up

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/validator/trunk@1649698 13f79535-47bb-0310-9956-ffa450edef68
"
56,9e98155,['Maintenance'],"Remove GenericValidator dependency

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/validator/trunk@594918 13f79535-47bb-0310-9956-ffa450edef68
"
57,abd219b,['Clean up'],"VALIDATOR-203 / VALIDATOR-242 - remove new routines versions of URL and Email validators

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/validator/trunk@588102 13f79535-47bb-0310-9956-ffa450edef68
"
58,25bdb02,['Documentation'],"Remove @author tags.

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/vfs/trunk@1308153 13f79535-47bb-0310-9956-ffa450edef68
"
59,54b824f,['Maintenance'],"Avoid instantiating Boolean objects; call Boolean.valueOf() instead.


git-svn-id: https://svn.apache.org/repos/asf/commons/proper/vfs/trunk@1403380 13f79535-47bb-0310-9956-ffa450edef68
"
60,cae5c37,['Maintenance'],"Precompile Subject Constraints
"
61,3c0a524c,['Rename'],"Renaming systest modules
"
62,b06255a,['Clean up'],"Using WSS4J's ReplayCache interface instead

git-svn-id: https://svn.apache.org/repos/asf/cxf/fediz/trunk@1564697 13f79535-47bb-0310-9956-ffa450edef68
"
63,e75b76c,"['Testing', 'Build']","Upgrading Fediz trunk to use CXF 3.0.0-SNAPSHOT

git-svn-id: https://svn.apache.org/repos/asf/cxf/fediz/trunk@1563869 13f79535-47bb-0310-9956-ffa450edef68
"
64,56bf794,"['Testing', 'Build']","[FEDIZ-129] - Default values in the schema are not actually used
"
65,25167c0,"['Maintenance', 'Feature Add', 'Build']","Fixed logout process. Websphere session cookie is now deleted. Servlet API 3.x is required by Websphere 8.5 to support a logout.
"
66,08af52b,"['Testing', 'Refactoring']","[FEDIZ-7] - Largish refactor of Fediz code to accomadate other protocols
"
67,6b6798f,"['Testing', 'Build', 'Maintenance']","[FEDIZ-30] Relying Party can enforce re-authentication using wfresh parameter

git-svn-id: https://svn.apache.org/repos/asf/cxf/fediz/trunk@1398122 13f79535-47bb-0310-9956-ffa450edef68
"
68,5d1655b,"['Testing', 'Build', 'Feature Add']","[FEDIZ-1] WS-Federation Metadata document published at runtime in RP. Thanks for patch Juerg

git-svn-id: https://svn.apache.org/repos/asf/cxf/fediz/trunk@1348749 13f79535-47bb-0310-9956-ffa450edef68
"
69,5cb6bbc,"['Testing', 'Build', 'Maintenance']","[FEDIZ-10] improved federation configuration

git-svn-id: https://svn.apache.org/repos/asf/cxf/fediz/trunk@1338661 13f79535-47bb-0310-9956-ffa450edef68
"
70,9fabb61,"['Testing', 'Build', 'Maintenance', 'Bug fix', 'Feature Add']","DRILL-3993: Changes to support Calcite 1.13

- fixed all compiling errors (main changes were: Maven changes, chenges RelNode -> RelRoot, implementing some new methods from updated interfaces, chenges some literals, logger changes);
- fixed unexpected column errors, validation errors and assertion errors after Calcite update;
- fixed describe table/schema statement according to updated logic;
- added fixes with time-intervals;
- changed precision of BINARY to 65536 (was 1048576) according to updated logic (Calcite overrides bigger precision to own maxPrecision);
- ignored some incorrect tests with DRILL-3244;
- changed ""Table not found"" message to ""Object not found within"" according to new Calcite changes.
"
71,d068b3e,"['Refactoring', 'Maintenance', 'Clean up', 'Indentation', 'Feature Add']","DRILL-4280: REFACTOR

+ Extract RemoteConnection interface, and add AbstractRemoteConnection
+ Add ServerConnection and ClientConnection interfaces
+ Add RequestHandler interface to decouple connections from how requests are handled
+ Add NonTransientRpcException

+ Remove unused classes and methods
+ Code style changes
"
72,ffd7d7e,"['Testing', 'Feature Add']","DRILL-5068: Add a new system table for completed profiles
"
73,8ce1f03,['Feature Add'],"DRILL-1950: Initial prototype patch for parquet filter pushdown.

Use three new classes from Adam's patch.
"
74,d24205d,"['Clean up', 'Maintenance']","DRILL-4445: Standardize the Physical and Logical plan nodes to use Lists instead of arrays for their inputs

Remove some extra translation logic used to move between the
two representations.

TODO - look back the the Join logical node, has two JsonCreator annotations,
but only one will be used. Not sure if the behavior of which is chosen
is considered documented behavior, should just fix it on our end.
"
75,9969d8b,"['Module Move', 'Build']","DRILL-3987: (MOVE) Extract key vector, field reader, complex/field writer classes.
"
76,09de31e,['Maintenance'],"DRILL-2517: (Prototype from Adam) Apply directory-based pruning before reading file.
"
77,a466e4b,"['Maintenance', 'Clean up']","DRILL-4134: Clean up close behaviors.
"
78,818f945,"['Testing', 'Documentation', 'Maintenance', 'Build', 'Feature Add']","DRILL-3423: Initial HTTPD log plugin. Needs tests. Would be good to improve the timestamp and cookies behaviors since we can make those more type specific.
"
79,eb6325d,"['Testing', 'Maintenance', 'Feature Add']","DRILL-3229: Implement Union type vector
"
80,f5b685e,"['Testing', 'Refactoring', 'Build', 'Maintenance']","GIRAPH-1125

Closes #12
"
81,d31949a,"['Testing', 'Feature Add', 'Maintenance']","GIRAPH-701: Communication improvement using one-to-all message
sending (Bingjing via aching)
"
82,e26b51e,['Refactoring'],"Refactored out SendCache to SendVertexIdDataCache and SendCache.
"
83,9c47b67,['Maintenance'],"GIRAPH-577: Create a testing framework that doesn't require I/O formats (ves via apresta)
"
84,c33ea10,['Bug fix'],"Add missing files from GIRAPH-535
"
85,b85f26f,"['Indentation', 'Build']","HAMA-775: Disable compression option in hama-default.xml

git-svn-id: https://svn.apache.org/repos/asf/hama/trunk@1500635 13f79535-47bb-0310-9956-ffa450edef68
"
86,d4ce86d,"['Testing', 'Maintenance']","HAMA-721 - committed Suraj's patch

git-svn-id: https://svn.apache.org/repos/asf/hama/trunk@1442969 13f79535-47bb-0310-9956-ffa450edef68
"
87,7088e5a,"['Testing', 'Feature Add']","[HAMA-559] Added spilling queue.

git-svn-id: https://svn.apache.org/repos/asf/hama/trunk@1432734 13f79535-47bb-0310-9956-ffa450edef68
"
88,c581456,"['Indentation', 'Maintenance']","[HAMA-593]: Improve RPC scalability (Mayank Mishra via tjungblut)


git-svn-id: https://svn.apache.org/repos/asf/hama/trunk@1373915 13f79535-47bb-0310-9956-ffa450edef68
"
89,0fd8ac3,"['Testing', 'Maintenance']","[HAMA-485]: Fill Counters with useful information


git-svn-id: https://svn.apache.org/repos/asf/incubator/hama/trunk@1298541 13f79535-47bb-0310-9956-ffa450edef68
"
90,42e16ad,['Clean up'],"Remove useless codes

git-svn-id: https://svn.apache.org/repos/asf/incubator/hama/trunk@727086 13f79535-47bb-0310-9956-ffa450edef68
"
91,a4ed985,"['Testing', 'Maintenance']","Blocking job should be a map/reduce job

git-svn-id: https://svn.apache.org/repos/asf/incubator/hama/trunk@720716 13f79535-47bb-0310-9956-ffa450edef68
"
92,db0924e,"['Testing', 'Legal', 'Maintenance']","Add license

git-svn-id: https://svn.apache.org/repos/asf/incubator/hama/trunk@713663 13f79535-47bb-0310-9956-ffa450edef68
"
93,d656fae,"['Build', 'Maintenance']","FLUME-1482 Flume should support exposing metrics via HTTP in JSON/some other web service format.

(Hari Shreedharan via Mubarak Seyed)
"
94,2945f74,"['Testing', 'Feature Add']","FLUME-1157. Implement interceptors/decorators.

(Mike Percy via Arvind Prabhakar)


git-svn-id: https://svn.apache.org/repos/asf/incubator/flume/trunk@1338909 13f79535-47bb-0310-9956-ffa450edef68
"
95,9b9e0d3,['Bug fix'],"FLUME-905: ExecSource silently fails after first transaction with channel

git-svn-id: https://svn.apache.org/repos/asf/incubator/flume/branches/flume-728@1225068 13f79535-47bb-0310-9956-ffa450edef68
"
96,9dcf08d,['Clean up'],None
97,e0ab385,['Clean up'],"Delete deprecated code (part 1)

git-svn-id: https://svn-us.apache.org/repos/asf/commons/proper/jexl/branches/2.0@801090 13f79535-47bb-0310-9956-ffa450edef68
"
98,5f1fcc9,"['Clean up', 'Bug fix', 'Maintenance']","Various MethodKey fixes:
 * Fix potential NPEs.
 * Reduce visibility of many methods
 * Use Void.class as a signature for null arguments
 * Need only one AmbiguousException
Patch by Henri Biestro <hbiestro at gmail dot com>.
JEXL-67


git-svn-id: https://svn-us.apache.org/repos/asf/commons/proper/jexl/branches/2.0@802288 13f79535-47bb-0310-9956-ffa450edef68
"
99,88a28ec,['Maintenance'],"Constructors wrapping in JexlMethod;
Allows to cache during interpretation and overload discovery related to constructor in Uberspect (for instance, using factories)

git-svn-id: https://svn-us.apache.org/repos/asf/commons/proper/jexl/trunk@1161143 13f79535-47bb-0310-9956-ffa450edef68
"
100,72d68d5,['Module Remove'],"JEXL-122: moved code to o.a.c.jexl3

git-svn-id: https://svn-us.apache.org/repos/asf/commons/proper/jexl/trunk@1207938 13f79535-47bb-0310-9956-ffa450edef68
"
101,771afc5,"['Testing', 'Feature Add', 'Cross', 'Bug fix', 'Maintenance']","Adding back all improvements/fixes made externally since 2012/09.

Some of those do break compatibility (Expression vs Script in particular, NaN as literal, logging is log4j); since 3.0 has never been released and the code has not been modified in the past 14 months, no-one should argue  (or then should contribute :-)).

From the changes.xml:
Fixed issue in edge case method resolution wrt overload and varargs;
Switch logging to log4j 1.2;
Empty array property setting fails Fixes JEXL-144. Thanks to Woonsang Ko.	;
Map expression issue with empty key Fixes JEXL-142. Thanks to Juozas Baliuks.;
Suffix for Big Decimal and Big Integer Literal is incorrectly mentioned in Java docs Fixes JEXL-141. Thanks to Harpreet Singh.;
Invalid script variable list for nested array/map access Fixes JEXL-137;
Fixed Engine.getVariables that was erroneously considering method calls as variable usage;
Fixed issue in ternary expression (grammar was not precise enough to differentiate namespace:function calls vs ternary right hand side);
NaN is now a keyword equivalent to #NaN (deprecated): POTENTIAL SCRIPT BREAK;
Syntactically enforce that expressions do not contain statements: POTENTIAL EXPRESSION BREAK (ie an expression is not a script and can NOT use 'if','for'... and blocks);
Added syntactic shortcut to create parametric scripts (script source creates an anonymous function);
Segregated JexlScript and JexlExpression further to avoid calling JexlExpression.evaluate on JexlScript (instead of JexlScript.execute) which had the unexpected property of only evaluating the first statement;
Fix an edge case of ambiguous method matching (see http://apache-commons.680414.n4.nabble.com/jexl-mathod-within-namespace-not-found-if-parameter-is-int-tt4637888.html);
Fix issue wrt isEmpty and method varargs (assignable types vs equal types) (see http://apache-commons.680414.n4.nabble.com/jexl-empty-function-crashes-if-called-with-int-tt4637895.html)


git-svn-id: https://svn-us.apache.org/repos/asf/commons/proper/jexl/trunk@1545274 13f79535-47bb-0310-9956-ffa450edef68
"
102,18388ba,"['Maintenance', 'Feature Add']","JEXL:
Implemented JEXL-177; multiline formats use backquote (`) as delimiter and interpolate ${...} expressions

git-svn-id: https://svn-us.apache.org/repos/asf/commons/proper/jexl/trunk@1698221 13f79535-47bb-0310-9956-ffa450edef68
"
103,86b3e40,"['Clean up', 'Bug fix', 'Maintenance']",None
104,893ba2a,"['Clean up', 'Maintenance']","Remove deprecated methods.

git-svn-id: https://svn.apache.org/repos/asf/incubator/hama/trunk@684734 13f79535-47bb-0310-9956-ffa450edef68
"
105,bac5191,['Token Replace'],"

git-svn-id: https://svn.apache.org/repos/asf/incubator/hama/trunk@683866 13f79535-47bb-0310-9956-ffa450edef68
"
106,ef727ae,"['Clean up', 'Maintenance']","

git-svn-id: https://svn.apache.org/repos/asf/incubator/hama/trunk@696330 13f79535-47bb-0310-9956-ffa450edef68
"
107,d18adac,['Clean up'],"

git-svn-id: https://svn.apache.org/repos/asf/incubator/hama/trunk@687945 13f79535-47bb-0310-9956-ffa450edef68
"
108,9ebf3e9,"['Testing', 'Maintenance']","Replace HelixDataAccessor.createProperty with more specific methods
"
109,1c5dff9,['Feature Add'],"User content store default implementation
"
110,4e48719,"['Testing', 'Maintenance', 'Feature Add']","Add state transition throttling logic into intermediateStateCalcStage.
"
111,917af3e,"['Testing', 'Feature Add', 'Maintenance']",None
112,f1df105,"['Testing', 'Maintenance', 'Feature Add']","[HELIX-353] Write an independent task rebalancer
"
113,c5a29ca,"['Testing', 'Refactoring']","HELIX-173: Move rebalancing strategies to separate classes that implement the Rebalancer interface, rb=13390
"
114,91b32bf,"['Build', 'Feature Add']","HELIX-151: rb:13209 Allow nodes using floor capacity to steal a slot
"
115,80e9c4a,"['Testing', 'Refactoring']","[HELIX-18] Moving some rebalancing methods to HelixAdmin from clustersetup
"
116,3cb7a1c,"['Testing', 'Source Control']"," Refactoring from com.linkedin.helix to org.apache.helix
"
117,2ce971e,"['Testing', 'Feature Add']","Add participant side Preconnect() callback to helix manager, which
calls a list of callbacks before get connected to zk and executing
messages."
118,ecec159,"['Testing', 'Maintenance', 'Build', 'Feature Add']","add perf test
"
119,5166769,"['Testing', 'Refactoring', 'Maintenance']","ZkCachedDataAccessor incomplete and merge with HelixDataAccessor
"
120,3bb3754,"['Testing', 'Refactoring']","move BestPossibleStateAndExternalView verifier from TestHelper to
ClusterStateVerifier so the verifier can be used outside Helix
"
121,e2e564a,"['Testing', 'Feature Add', 'Maintenance']","Deprecated Scheme, SchemeRegistry and related classes in favor of generic Registry; connection managers to use new ConnectionSocketFactory API; rewrote default HttpRoutePlanner implementations

git-svn-id: https://svn.apache.org/repos/asf/httpcomponents/httpclient/trunk@1414678 13f79535-47bb-0310-9956-ffa450edef68
"
122,9b97410,"['Testing', 'Clean up', 'Build', 'Maintenance']","Redesign of connection management classes based on new pooling components from HttpCore

git-svn-id: https://svn.apache.org/repos/asf/httpcomponents/httpclient/branches/conn-mgmt-redesign@1154914 13f79535-47bb-0310-9956-ffa450edef68
"
123,c7f3b74,"['Testing', 'Build', 'Maintenance']","HTTPCLIENT-936: Test cases
Contributed by Francois Rigault <francois dot rigault.amadeus.com>


git-svn-id: https://svn.apache.org/repos/asf/httpcomponents/httpclient/trunk@943284 13f79535-47bb-0310-9956-ffa450edef68
"
